;title;Running time (int);Budget (float);Box office (float);Release date (datetime);Directed by;Produced by;Music by
1;Snow White and the Seven Dwarfs;83.0;1490000.0;418000000.0;1937-12-21;['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen'];Walt Disney;['Frank Churchill', 'Paul Smith', 'Leigh Harline']
2;Pinocchio;88.0;2600000.0;164000000.0;1940-02-07;['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee'];Walt Disney;['Leigh Harline', 'Paul J. Smith']
3;Fantasia;126.0;2280000.0;83300000.0;1940-11-13;['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson'];['Walt Disney', 'Ben Sharpsteen'];See program
4;The Reluctant Dragon;74.0;600000.0;960000.0;1941-06-20;['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)'];Walt Disney;['Frank Churchill', 'Larry Morey']
5;Dumbo;64.0;950000.0;1300000.0;1941-10-23;['Supervising director:', 'Ben Sharpsteen', 'Sequence directors:', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong'];Walt Disney;['Frank Churchill', 'Oliver Wallace']
6;Bambi;70.0;858000.0;267399999.99999997;1942-08-09;['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright'];Walt Disney;['Frank Churchill', 'Edward H. Plumb']
8;Victory Through Air Power;65.0;788000.0;799000.0;1943-07-17;['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter'];Walt Disney;['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']
10;Make Mine Music;75.0;1350000.0;3275000.0;1946-04-20;['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador', 'Robert Cormack'];Walt Disney;['Eliot Daniel', 'Ken Darby', 'Charles Wolcott', 'Oliver Wallace', 'Edward Plumb']
11;Song of the South;94.0;2125000.0;65000000.0;1946-11-12;['Live action:', 'Harve Foster', 'Animation:', 'Wilfred Jackson'];Walt Disney;['Edward Plumb', 'Daniele Amfitheatrof', 'Paul J. Smith', 'Charles Wolcott']
13;Melody Time;75.0;1500000.0;2560000.0;1948-05-27;['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson'];Walt Disney;['Eliot Daniel', 'Paul J. Smith', 'Ken Darby']
14;So Dear to My Heart;82.0;1500000.0;3700000.0;1948-11-29;['Harold D. Schuster', 'Hamilton Luske'];['Walt Disney', 'Perce Pearce'];Paul Smith
16;Cinderella;74.0;2900000.0;263600000.00000003;1950-02-15;['Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson'];Walt Disney;['Oliver Wallace', 'Paul J. Smith']
17;Treasure Island;96.0;1800000.0;4100000.0;1950-06-22;Byron Haskin;['Walt Disney', 'Perce Pearce'];Clifton Parker
18;Alice in Wonderland;75.0;3000000.0;5600000.0;1951-07-26;['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske'];Walt Disney;Oliver Wallace
